,DNR_ID_Site_Number,Year,Mean(log_phosphorus),Std Dev(log_phosphorus),Mean(Secchi_Depth_RESULT),Std Dev(Secchi_Depth_RESULT),rec_1,rec_2,rec_3,rec_4,rec_5,seasonal_1,seasonal_2,seasonal_3,seasonal_4,seasonal_5,physical_1,physical_2,physical_3,physical_4,physical_5,LAKE_NAME,MAJOR_WATERSHED,longitude,latitude,num.rec.readings,num.physical.readings,rec.avg,physical.avg,seasonal.grade,LakeSite,Number Properties,Mean(ACRES_POLY),Std Dev(ACRES_POLY),N(Ag Preserve - Yes),N(Basement - Yes),Median(EMV_TOTAL),Interquartile Range(EMV_TOTAL),Median(FIN_SQ_FT),Interquartile Range(FIN_SQ_FT),N(Green ACRE - Yes),N(Homestead - Partial),N(Homestead - Yes),N(Single Unit),N(Multiple Unit),Median(SALE_VALUE),Interquartile Range(SALE_VALUE),Median(TOTAL_TAX),Interquartile Range(TOTAL_TAX),N(Sales that year),N(Built that year)
671,27005300-01,2014,-2.506801079,0.21946232300000001,0.5,0.1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,Cobblecrest Lake,Mississippi River - Twin Cities,-93.39348337,44.95013,2,3,4.0,2.333333333,F,Cobblecrest Lake-1,489,0.484826176,0.88020607,0,0,200400,87100.0,1148.0,583.5,0,0,432,0,0,165000.0,154025.0,3056.5,1519.5,22,0
1313,82007600-01,2014,-2.733713605,0.288723994,1.255833333,0.350128764,0,1,5,6,0,0,0,1,0,0,0,2,9,1,0,Barker Lake,Lower St. Croix River,-92.89930946,45.18460321,12,12,3.416666667,2.916666667,C,Barker Lake-1,8,85.0375,10.76513785,0,0,653800,255775.0,0.0,1182.0,4,0,0,2,0,,,,,0,0
137,10001100-01,2010,-3.8481962939999996,0.35174711200000003,2.15,0.74049533,3,1,0,2,0,0,0,0,0,1,0,3,3,1,0,St. Joe Lake,Mississippi River - Twin Cities,-93.62296909,44.87564570000001,6,7,2.166666667,2.714285714,A,St. Joe Lake-1,312,0.816891026,1.7049018459999998,0,0,429350,261700.0,2211.0,1850.0,0,0,0,0,0,428313.0,298450.0,5215.0,3157.0,4,0
1737,82048800-01,2009,-2.800105186,0.429040585,1.3932857140000001,0.9654789340000001,0,1,0,6,0,0,0,1,0,0,0,2,4,1,0,West Lakeland Storage Site,Lower St. Croix River,-92.84742244,44.96339695,7,7,3.714285714,2.857142857,C,West Lakeland Storage Site-1,54,3.9115094339999996,8.276697222000001,0,0,452800,255175.0,2047.5,1416.5,0,53,0,0,0,293750.0,244500.0,452800.0,253100.0,0,0
1483,82011200-01,2009,-1.418843721,0.329621205,0.255714286,0.145448076,0,0,0,14,0,2,0,0,0,0,0,0,5,9,0,Rose Lake,Lower St. Croix River,-92.86991774,44.9639433,14,14,4.0,3.642857143,F,Rose Lake-1,23,5.27,7.521277696,0,0,329800,213400.0,1720.0,2072.0,0,23,0,0,0,185700.0,61971.75,329800.0,213400.0,0,0
797,27017800-01,2008,-2.830217835,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ox Yoke Lake,South Fork Crow River,-93.74586109,44.97151239,0,0,,,F,Ox Yoke Lake-1,72,8.515416667,14.80535304,0,0,245000,450250.0,0.0,0.0,3,0,65,0,0,200000.0,274500.0,3391.5,4834.0,4,0
1211,82004600-01,2004,-4.380393038,0.236100487,5.2904285710000005,0.639523346,14,0,0,0,0,0,0,0,0,1,12,2,0,0,0,Square Lake,Lower St. Croix River,-92.80441146,45.156746999999996,14,14,1.0,1.142857143,A,Square Lake-1,38,21.58611111,59.02906833,0,0,360050,457300.0,0.0,0.0,1,0,38,0,0,166000.0,49000.0,1888.0,2305.0,0,0
778,27015300-01,2007,-0.845388687,0.291476554,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ardmore Lake,South Fork Crow River,-93.63667751,45.03286713,0,0,,,F,Ardmore Lake-1,317,0.45075709799999997,1.020401414,0,0,208000,285400.0,0.0,0.0,0,0,248,0,0,149500.0,141900.0,1857.0,2142.0,4,0
631,27003501-01,2006,-2.457600119,0.454367581,1.03,0.09486833,9,0,0,0,0,0,1,0,0,0,8,1,0,0,0,Sweeney Lake,Mississippi River - Twin Cities,-93.34160616,44.99052075,9,9,1.0,1.111111111,D,Sweeney Lake-1,310,,,0,0,305000,165000.0,0.0,0.0,0,0,272,0,0,167000.0,158950.0,4106.0,2623.0,6,0
1545,82012300-01,2011,-3.10443597,0.434851329,2.288571429,0.905346104,11,18,8,5,0,0,0,1,2,0,10,25,3,4,0,Bass Lake,Lower St. Croix River,-92.91784653,45.09714182,42,42,2.166666667,2.0238095240000002,B,Bass Lake-1,94,4.6870212769999995,3.140309494,0,0,330500,68900.0,1860.0,848.0,0,0,82,80,0,276000.0,270000.0,,,0,0
1575,82013200-01,2014,-3.462735692,0.239968332,2.9216666669999998,0.537313745,0,7,5,0,0,0,0,0,1,0,0,7,5,0,0,Woodpile Lake,Lower St. Croix River,-92.90332792,45.06868739,12,12,2.416666667,2.416666667,B,Woodpile Lake-1,26,10.37230769,8.730951063,0,0,427700,203225.0,1547.0,1004.25,2,0,24,20,2,30132.0,207927.25,,,0,0
1047,82001000-01,2012,-2.53249855,0.33656784799999995,1.628714286,0.326050464,0,5,2,0,0,0,0,1,0,0,0,7,0,0,0,McDonald Lake,Lower St. Croix River,-92.84392332,45.01696278,7,7,2.285714286,2.0,C,McDonald Lake-1,132,3.665151515,1.363668427,0,0,550100,209800.0,3079.0,862.0,0,0,118,116,2,387245.0,624500.0,,,2,0
1081,82001700-01,2004,-3.365543143,0.254103768,1.0927142859999999,0.302039575,0,0,1,1,0,0,0,1,0,0,0,1,5,0,0,Carol Lake,Lower St. Croix River,-92.84101343,45.09783873,2,6,3.5,2.833333333,C,Carol Lake-1,19,21.191999999999997,10.91356424,0,0,476200,392500.0,0.0,0.0,6,0,19,0,0,340000.0,0.0,2188.0,3446.0,0,0
1472,82011000-01,2006,-1.8079919469999999,0.361292225,0.35714285700000004,0.19023794600000002,0,0,1,6,0,1,0,0,0,0,1,2,2,2,0,Downs Lake,Lower St. Croix River,-92.86598768,44.98198473,7,7,3.857142857,2.714285714,F,Downs Lake-1,169,2.595977012,4.572977367,0,0,409500,153750.0,1764.0,1103.0,2,0,147,0,0,197500.0,131242.0,3116.0,1090.0,2,0
845,27069300-01,2011,-3.3297868489999995,0.5926737,1.677777778,0.24888640899999998,8,1,0,0,0,0,0,0,1,0,1,6,2,0,0,Hidden Lake,Mississippi River - Twin Cities,-93.4275308,44.99311986,9,9,1.111111111,2.111111111,B,Hidden Lake-1,462,4.632978261,4.831867441,0,0,120000,121875.0,0.0,0.0,0,0,334,0,0,112650.0,89225.0,1392.0,1593.0,12,0
431,19002601-01,2011,-3.512341615,0.384390901,1.8821428569999998,0.835189325,13,0,1,0,0,0,0,0,1,0,5,8,1,0,0,Marion Lake,Mississippi River - Lake Pepin,-93.27557035,44.65825741,14,14,1.142857143,1.714285714,B,Marion Lake-1,489,1.2064959020000001,5.047378141,0,0,269500,219400.0,2149.0,1966.0,22,0,363,0,0,220800.0,155000.0,3446.0,3124.5,2,0
1411,82010100-01,2014,-4.146774443,0.436811305,2.84,1.136284673,13,1,0,0,0,0,0,0,0,1,7,4,4,0,0,DeMontreville Lake,Lower St. Croix River,-92.93991097,45.02166106,14,15,1.071428571,1.8,A,DeMontreville Lake-1,254,1.8196850390000001,8.277062638,0,0,332300,416700.0,1312.0,2010.0,0,0,176,162,0,290000.0,327500.0,,,0,0
566,19034800-01,2007,-2.7123550410000004,0.53875642,1.428571429,0.703210846,2,4,1,7,0,0,0,1,0,0,0,6,2,6,0,Valley Lake,Mississippi River - Lake Pepin,-93.20902364,44.71508954,14,14,2.928571429,3.0,C,Valley Lake-1,227,0.612070485,1.718280071,0,0,215500,41600.0,1758.0,516.0,0,0,197,215,0,147900.0,117750.0,2134.0,408.0,5,0
760,27011601-01,2011,-2.04881047,0.5638649139999999,1.183333333,0.358870281,0,4,7,1,0,0,1,0,0,0,0,4,7,1,0,Rice Elm Lake,Mississippi River - Twin Cities,-93.46614319,45.11672618,12,12,2.75,2.75,D,Rice Elm Lake-1,2158,0.502493049,1.3991466019999999,0,0,238700,144250.0,1388.0,953.0,0,0,1934,0,0,173595.0,125000.0,3420.0,1877.0,74,0
971,70007400-01,2006,-1.7104328709999999,1.168074515,0.65,0.234520788,1,1,0,4,2,1,0,0,0,0,0,3,1,3,0,Dean Lake,Lower Minnesota River,-93.44465,44.77409896,8,7,3.625,3.0,F,Dean Lake-1,635,1.3915748030000001,8.852503008,0,0,238100,283700.0,978.0,1525.0,2,0,379,0,0,297108.0,104773.0,,,0,0
997,70009500-01,2010,-3.34878196,0.402055648,1.571428571,1.0380666729999999,3,10,0,0,0,0,0,1,0,0,4,10,0,0,0,O'Dowd Lake,Lower Minnesota River,-93.51540390000001,44.744893100000006,13,14,1.769230769,1.714285714,C,O'Dowd Lake-1,334,2.111197605,5.976669687,0,0,314700,415400.0,1336.0,1801.0,0,0,195,0,0,275000.0,377900.0,,,2,0
17,02000900-01,2006,-2.290534623,0.293372223,0.653846154,0.284650033,6,5,1,0,0,0,1,0,0,0,1,7,3,1,0,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,12,12,1.5833333330000001,2.333333333,D,Reshanau Lake-1,775,0.884116129,2.130723564,0,0,296100,165400.0,1418.0,1060.0,0,0,599,0,0,296000.0,167000.0,3839.0,2194.0,34,0
934,70002600-01,2011,-3.9391507110000004,0.68915298,4.15,1.145346315,11,1,0,0,0,0,0,0,0,1,4,8,0,0,0,Lower Prior Lake,Lower Minnesota River,-93.41536363,44.73480944,12,12,1.083333333,1.6666666669999999,A,Lower Prior Lake-1,1256,0.565430622,2.3321228659999997,0,0,254450,274500.0,1251.5,532.75,2,0,1041,0,0,223755.0,180500.0,,,0,0
1038,82000900-01,2012,-3.259259981,0.616333713,2.566666667,0.57662813,2,5,2,0,0,0,0,0,1,0,2,7,0,0,0,Cloverdale Lake,Lower St. Croix River,-92.8523515,45.02040173,9,9,2.0,1.7777777780000001,B,Cloverdale Lake-1,90,3.876222222,1.33591073,0,0,526400,324400.0,2961.0,1375.0,0,0,76,78,2,209000.0,340000.0,,,4,0
825,27063400-01,2008,-3.2237581719999997,0.419637715,1.16,0.467142614,0,5,3,2,0,0,0,1,0,0,0,6,4,0,0,Success Lake,Mississippi River - Twin Cities,-93.32400322,45.10348381,10,10,2.7,2.4,C,Success Lake-1,782,0.28480818399999996,0.190365647,0,0,221300,30400.0,0.0,0.0,0,0,660,0,0,145000.0,117000.0,2754.0,589.5,29,0
462,19003000-01,2009,-4.125006016,0.236915104,2.3,,13,1,0,0,0,0,0,0,0,1,7,6,1,0,0,Kingsley Lake,Lower Minnesota River,-93.29915576,44.70709647,14,14,1.071428571,1.571428571,A,Kingsley Lake-1,362,1.3777313430000002,5.067830642,0,0,293450,321750.0,2237.5,2985.25,0,0,240,243,3,285000.0,181250.0,3699.0,2298.0,4,0
1186,82003600-01,2013,-2.6957749439999996,0.918482415,,,0,0,0,11,1,0,0,0,0,0,0,3,9,0,0,Turtle Lake,Lower St. Croix River,-92.8674582,45.17814441,12,12,4.083333333,2.75,F,Turtle Lake-1,18,19.62111111,12.96389506,0,0,246000,174525.0,0.0,0.0,12,0,2,2,0,,,,,0,0
687,27007000-01,2007,-2.877333989,0.34393875399999996,1.384615385,0.985601469,13,0,0,0,0,0,0,1,0,0,6,7,0,0,0,Mitchell Lake,Lower Minnesota River,-93.49817264,44.85899641,13,13,1.0,1.538461539,C,Mitchell Lake-1,1071,0.680877684,1.9132591890000001,0,0,369200,322400.0,0.0,0.0,0,0,932,0,0,230000.0,191250.0,4692.5,3882.5,39,0
1656,82016200-01,2007,-1.613748142,0.431427691,1.284571429,0.918094196,0,4,0,3,0,0,1,0,0,0,0,3,2,2,0,Shields Lake,Lower St. Croix River,-92.94485894,45.25287409,7,7,2.857142857,2.857142857,D,Shields Lake-1,80,,,0,0,234350,343475.0,0.0,0.0,2,80,0,0,0,190000.0,183500.0,,,0,0
869,62000100-01,2009,-3.394750303,0.249064211,1.785285714,0.301070155,0,6,1,0,0,0,0,0,1,0,1,6,0,0,0,Silver Lake,Lower St. Croix River,-92.98615998,45.02818484,7,7,2.142857143,1.857142857,B,Silver Lake-1,878,0.506807298,1.5770682809999998,0,0,219400,73775.0,1301.0,684.5,0,877,0,594,4,162690.0,119175.0,2888.0,164774.0,6,0
688,27007000-01,2008,-3.077617835,0.35397814299999997,1.628571429,1.223128757,13,0,1,0,0,0,0,1,0,0,9,4,0,1,0,Mitchell Lake,Lower Minnesota River,-93.49817264,44.85899641,14,14,1.142857143,1.5,C,Mitchell Lake-1,1209,0.73566584,2.069106505,0,0,309700,305750.0,0.0,0.0,0,0,1086,0,0,209900.0,164769.0,3735.5,3902.25,52,0
1382,82009400-01,2007,-2.057532587,0.430240678,0.675,0.38210993200000004,0,2,0,5,0,0,1,0,0,0,0,1,3,3,0,Colby Lake,Mississippi River - Twin Cities,-92.90834129,44.91007106,7,7,3.428571429,3.285714286,D,Colby Lake-1,853,,,0,0,331700,239000.0,0.0,0.0,0,850,0,0,0,270000.0,212235.0,,,8,0
1571,82013200-01,2010,-2.9059826760000003,0.576057708,2.362142857,1.751646165,0,3,6,5,0,0,0,1,0,0,0,5,9,0,0,Woodpile Lake,Lower St. Croix River,-92.90332792,45.06868739,14,14,3.142857143,2.642857143,C,Woodpile Lake-1,26,10.37230769,8.730951063,0,0,456500,202075.0,1547.0,1004.25,2,0,24,20,2,30132.0,207927.25,,,0,0
1417,82010300-01,2005,-3.5288873780000003,0.315874392,2.895571429,1.5639529890000001,1,4,2,0,0,0,0,0,1,0,0,5,2,0,0,Olson Lake,Lower St. Croix River,-92.94542621,45.01857051,7,7,2.142857143,2.285714286,B,Olson Lake-1,463,2.328851064,23.01211108,0,0,331700,164200.0,0.0,0.0,0,0,463,0,0,167000.0,176250.0,3018.0,1251.0,0,0
1251,82005300-01,2009,-2.179281404,0.404386788,0.642857143,0.11338934199999999,0,0,0,7,0,0,1,0,0,0,0,4,3,0,0,Sea Lake,Lower St. Croix River,-92.83761977,45.29143691,7,7,4.0,2.4285714290000002,D,Sea Lake-1,45,12.71755556,10.01401453,0,0,261500,198100.0,0.0,1529.5,12,45,0,0,0,247000.0,254794.0,197700.0,283650.0,0,0
1110,82002000-01,2008,-3.046106405,0.56477782,1.9595,0.49246019,0,2,7,5,0,0,0,1,0,0,0,7,6,1,0,McKusick Lake,Lower St. Croix River,-92.8257844,45.060821000000004,14,14,3.214285714,2.5714285709999998,C,McKusick Lake-1,1068,0.472776177,2.088826427,0,0,220500,108325.0,0.0,0.0,0,1068,0,0,0,170117.5,124249.0,220500.0,108325.0,5,0
893,62005800-01,2009,-2.95070441,0.566833946,1.3769230769999998,0.74375606,0,4,7,2,0,0,0,1,0,0,0,9,4,0,0,Little Johanna Lake,Mississippi River - Twin Cities,-93.17263308,45.03504895,13,13,2.8461538460000004,2.307692308,C,Little Johanna Lake-1,259,1.397644788,5.657976486,0,0,306700,100800.0,1741.0,1075.0,0,259,0,221,20,200000.0,120100.0,3596.0,1303.0,6,0
325,10022600-01,2004,-3.889099217,0.36940945799999997,3.464285714,0.790916842,8,6,0,0,0,0,0,0,0,1,11,3,0,0,0,Fireman's Clayhole Lake,Lower Minnesota River,-93.60344874,44.79128839,14,14,1.428571429,1.214285714,A,Fireman's Clayhole Lake-1,268,0.542835821,1.371573968,0,0,141800,137300.0,960.0,1462.0,0,0,137,0,0,146450.0,287507.0,1535.0,2080.0,12,0
43,02004500-01,2006,-2.396616518,0.610038705,1.390909091,0.385887407,5,6,0,0,0,0,0,1,0,0,5,5,1,0,0,Golden Lake,Mississippi River - Twin Cities,-93.15271269,45.13923351,11,11,1.545454546,1.636363636,C,Golden Lake-1,832,0.498257212,1.22634507,0,0,246400,117100.0,1231.0,421.0,0,0,676,0,0,198597.5,55407.25,3070.0,1236.0,26,0
469,19003100-01,2005,-3.487145126,0.54643806,2.407857143,0.9614586559999999,9,3,1,0,0,0,0,0,1,0,5,7,1,0,0,Orchard Lake,Lower Minnesota River,-93.31089353,44.7022537,13,13,1.384615385,1.692307692,B,Orchard Lake-1,289,0.7512087909999999,0.785195979,0,0,380700,365100.0,2232.0,3100.0,0,0,223,198,0,247004.0,161257.0,3703.0,2076.5,2,0
981,70009100-01,2009,-1.418817553,,0.8,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Cedar Lake,Lower Minnesota River,-93.52228564,44.595820700000004,1,1,4.0,4.0,F,Cedar Lake-1,481,1.166320166,2.145431574,0,0,283300,272200.0,1084.0,1562.0,0,0,275,0,0,184000.0,261240.0,,,0,0
808,27019900-01,2005,-2.993679493,0.37417467,1.88,1.0345461390000001,0,6,8,0,0,0,0,1,0,0,1,4,8,0,0,Hafften Lake,North Fork Crow River,-93.67777499,45.09449117,14,13,2.5714285709999998,2.538461539,C,Hafften Lake-1,56,,,0,0,441000,309000.0,0.0,0.0,0,0,40,0,0,135450.0,229763.25,4309.0,3363.0,2,0
1140,82002602-01,2011,-2.196240699,0.384399197,0.697142857,0.288369802,0,1,0,6,0,0,1,0,0,0,0,1,5,1,0,Mud Lake,Lower St. Croix River,-92.87389184,45.18272507,7,7,3.714285714,3.0,D,Mud Lake-1,14,34.6,8.750623714,0,0,234100,308800.0,0.0,896.0,12,0,0,4,0,,,,,0,0
419,19002500-01,2010,-2.72238226,0.324735741,0.728571429,0.379125657,1,2,0,10,1,0,1,0,0,0,1,4,6,2,1,Keller Lake,Lower Minnesota River,-93.2520238,44.72650508,14,14,3.571428571,2.857142857,D,Keller Lake-1,585,0.563745705,2.154356206,0,0,243100,88050.0,2378.0,1159.0,0,2,539,555,0,225450.0,131825.0,3068.0,1151.0,8,0
944,70005000-01,2011,-2.7750241730000003,0.382400963,1.28,0.6646636579999999,5,4,0,1,0,0,0,1,0,0,0,6,3,1,0,McMahon Lake,Lower Minnesota River,-93.41373865,44.63309631,10,10,1.7,2.5,C,McMahon Lake-1,57,5.595151515,6.648686957000001,0,0,268800,376200.0,1144.0,1606.0,0,0,31,0,0,280825.0,346375.0,,,0,0
783,27016900-01,2007,1.342864803,,2.0,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Cowley Lake,North Fork Crow River,-93.59135693,45.1954836,1,1,4.0,2.0,D,Cowley Lake-1,108,4.120277778,11.16139973,0,0,38400,0.0,0.0,0.0,2,0,6,0,0,460710.0,445875.0,623.0,0.0,14,0
1230,82004900-01,2013,-4.461939834,0.34191629,5.545833332999999,1.5302968119999998,10,2,0,0,0,0,0,0,0,1,8,4,0,0,0,Big Carnelian Lake,Lower St. Croix River,-92.80741591,45.13305739,12,12,1.166666667,1.333333333,A,Big Carnelian Lake-1,596,1.257785235,4.013237817,2,2,242150,393000.0,763.0,1527.0,2,0,382,358,8,159675.0,382500.0,,,0,0
548,19009500-01,2007,-2.561815923,0.331158309,0.75,0.36645015299999995,0,0,0,6,0,0,1,0,0,0,0,6,1,1,0,Seidl Lake,Mississippi River - Twin Cities,-93.05329582,44.88348937,6,8,4.0,2.375,D,Seidl Lake-1,665,0.34510101,1.048451395,0,0,240600,109100.0,1745.0,692.0,0,4,615,594,8,224500.0,104510.0,2381.0,911.0,22,0
1190,82003800-01,2006,,,1.0885714290000001,0.654912426,0,0,3,3,1,0,0,0,0,0,0,2,4,1,0,Maple Marsh Lake,Lower St. Croix River,-92.88669874,45.17440477,7,7,3.714285714,2.857142857,F,Maple Marsh Lake-1,6,112.76,59.40110858,0,0,885000,1318100.0,0.0,0.0,6,0,0,0,0,,,474.0,710.0,0,0
1564,82012600-01,2012,-3.030429222,0.520937671,1.52,0.0,1,8,4,1,0,0,0,0,0,0,2,10,2,0,0,Masterman Lake,Lower St. Croix River,-92.90354144,45.07866797,14,14,2.357142857,2.0,F,Masterman Lake-1,66,6.963939394,3.8803758260000003,0,0,256100,312100.0,1248.0,2828.25,0,0,52,40,0,275000.0,194477.25,,,4,0
104,10000500-01,2014,-3.9372753830000002,0.8470848790000001,4.3307692310000006,1.375611752,7,3,2,1,0,0,0,0,0,1,8,2,2,1,0,Courthouse Lake,Lower Minnesota River,-93.59002821,44.78926982,13,13,1.769230769,1.692307692,A,Courthouse Lake-1,275,0.6868163270000001,2.9229147789999996,0,0,146600,110500.0,1310.0,441.0,0,0,206,0,0,161900.0,169942.0,2016.0,1400.0,14,0
519,19006500-01,2012,,,4.433333333,1.66458203,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,Holland Lake,Lower Minnesota River,-93.14237332,44.78799096,4,4,1.0,1.0,F,Holland Lake-1,32,10.7025,19.21517059,0,0,426600,294350.0,2390.0,4049.25,0,0,20,20,0,444662.0,507000.0,5922.5,2545.0,0,0
1405,82010100-01,2008,-3.772720477,0.7281719790000001,3.7865,0.805781062,17,4,1,0,0,0,0,0,0,1,6,16,0,0,0,DeMontreville Lake,Lower St. Croix River,-92.93991097,45.02166106,22,22,1.2727272729999999,1.727272727,A,DeMontreville Lake-1,265,1.764312977,8.145570648,0,0,340000,447500.0,0.0,0.0,0,265,0,0,0,305000.0,330000.0,336700.0,448900.0,1,0
1228,82004900-01,2010,-4.276119329,0.25485892,4.371428571,1.533747356,6,1,0,0,0,0,0,0,0,1,2,5,0,0,0,Big Carnelian Lake,Lower St. Croix River,-92.80741591,45.13305739,7,7,1.142857143,1.714285714,A,Big Carnelian Lake-1,590,1.263118644,3.977201382,2,2,306400,507200.0,752.0,1508.0,4,0,382,348,10,150000.0,383893.0,,,8,0
1648,82015900-01,2010,-3.612661076,0.285134705,1.827272727,0.782658363,16,5,1,0,0,0,0,0,1,0,11,6,4,1,0,Forest Lake,Lower St. Croix River,-92.96654615,45.28220571,22,22,1.318181818,1.772727273,B,Forest Lake-1,2774,0.42207396700000005,0.714460854,0,0,167400,221200.0,984.0,1464.0,0,0,1686,1756,6,172500.0,155900.0,,,50,2
1381,82009400-01,2006,-1.767758305,0.820877812,0.642857143,0.340867241,0,0,0,7,0,1,0,0,0,0,0,2,3,2,0,Colby Lake,Mississippi River - Twin Cities,-92.90834129,44.91007106,7,7,4.0,3.0,F,Colby Lake-1,853,0.8284507040000001,4.194241312,0,0,332600,219050.0,2041.0,935.0,0,0,755,0,0,246000.0,218740.75,3650.0,2480.0,13,0
110,10000600-01,2009,-3.216399346,0.519441424,1.825454546,0.5962610779999999,1,8,2,0,0,0,0,1,0,0,0,9,2,0,0,Lotus Lake,Lower Minnesota River,-93.52556143,44.86977002,11,11,2.090909091,2.1818181819999998,C,Lotus Lake-1,1158,0.590630942,0.830939894,0,0,347450,241800.0,1858.0,1149.75,0,0,573,0,0,262500.0,223408.75,4047.0,3038.0,28,0
1050,82001100-01,2006,-1.603103908,0.370619697,0.6571428570000001,0.250274575,0,4,10,0,0,1,0,0,0,0,0,6,6,2,0,Bay Pond,Lower St. Croix River,-92.83273741,44.99498587,14,14,2.714285714,2.714285714,F,Bay Pond-1,131,2.626515152,4.88135873,0,0,205000,146400.0,0.0,1461.0,0,0,58,0,0,225000.0,193050.0,802.0,1144.0,2,0
816,27062700-01,2007,-1.5278938290000001,0.482411304,1.04,0.142984071,0,0,0,8,1,0,1,0,0,0,0,6,4,0,0,Northwood Lake,Mississippi River - Twin Cities,-93.39171496,45.02556284,9,10,4.1111111110000005,2.4,D,Northwood Lake-1,1037,0.36002893,1.356282002,0,0,227000,46000.0,0.0,0.0,0,0,973,0,0,123900.0,125700.0,2891.0,642.0,36,0
321,10022500-01,2011,-3.994101487,0.463751901,3.5785714289999997,1.66325842,8,5,1,0,0,0,0,0,0,1,6,6,2,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,14,14,1.5,1.714285714,A,Brickyard Clayhole Lake-1,101,1.951287129,3.61231357,0,0,128600,278800.0,1008.0,3312.0,2,0,34,0,10,134000.0,305084.0,1640.0,14666.0,2,4
672,27005700-01,2005,-1.487548206,0.43193006899999997,0.4615,0.22992812899999998,0,0,0,8,1,1,0,0,0,0,3,3,1,2,1,Meadow Lake,Mississippi River - Twin Cities,-93.38771952,45.06125669,9,10,4.1111111110000005,2.5,F,Meadow Lake-1,695,,,0,0,183000,38500.0,0.0,0.0,0,0,649,0,0,107000.0,82850.0,2373.0,583.0,18,0
568,19034800-01,2009,-2.964439772,0.321240048,2.285714286,0.499010009,2,5,6,1,0,0,0,0,1,0,1,9,4,0,0,Valley Lake,Mississippi River - Lake Pepin,-93.20902364,44.71508954,14,14,2.4285714290000002,2.214285714,B,Valley Lake-1,227,0.612070485,1.718280071,0,0,197900,31200.0,1758.0,463.0,0,2,198,215,0,152300.0,113950.0,2215.0,325.5,4,0
188,10002900-01,2014,-1.814896296,0.42636428299999996,1.016666667,0.36228441899999997,0,2,5,1,1,0,1,0,0,0,0,1,7,1,0,Miller Lake,Lower Minnesota River,-93.74305702,44.78713912,9,9,3.111111111,3.0,D,Miller Lake-1,7,95.62571429,49.90952409,5,5,49300,800800.0,0.0,1836.0,1,0,1,0,0,410000.0,0.0,1502.0,7374.0,0,0
1683,82030800-01,2012,-2.319951404,0.7179720390000001,,,0,0,0,6,0,0,0,0,0,0,0,4,2,0,0,Brick Pond,Lower St. Croix River,-92.81843998,45.04299815,6,6,4.0,2.333333333,F,Brick Pond-1,260,0.8585384620000001,1.884331292,0,0,212600,77400.0,1386.0,1670.0,0,0,174,186,0,200000.0,109900.0,,,8,0
433,19002601-01,2013,-3.88187857,0.556250173,2.014285714,0.503613318,13,1,0,0,0,0,0,0,1,0,8,6,0,0,0,Marion Lake,Mississippi River - Lake Pepin,-93.27557035,44.65825741,14,14,1.071428571,1.428571429,B,Marion Lake-1,487,1.2105555559999999,5.057200226,0,0,262800,196000.0,2192.0,1998.0,22,0,359,371,2,215000.0,147000.0,3418.0,2356.5,10,0
1497,82011602-01,2005,-2.9439457,0.36354715,1.055785714,0.17417064100000001,0,0,0,12,2,0,0,1,0,0,0,6,8,0,0,Armstrong Lake,Mississippi River - Twin Cities,-92.93917709,44.96252306,14,14,4.1428571430000005,2.5714285709999998,C,Armstrong Lake-1,162,0.957532468,3.3384920780000003,0,0,401750,417700.0,0.0,0.0,0,0,162,0,0,162550.0,197100.0,4076.0,913.0,0,0
194,10005200-01,2005,-1.533835386,0.991881725,2.246666667,1.5202756640000001,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Reitz Lake,Lower Minnesota River,-93.74452179,44.83862568,1,1,1.0,1.0,C,Reitz Lake-1,108,4.266111111,5.500779016,0,0,405150,304700.0,1657.0,948.0,2,0,98,0,0,233750.0,247582.25,2591.0,1579.0,2,0
429,19002601-01,2009,-3.157483633,0.48842214799999994,1.8966666669999999,0.6054710879999999,14,0,1,0,0,0,0,1,0,0,3,10,2,0,0,Marion Lake,Mississippi River - Lake Pepin,-93.27557035,44.65825741,15,15,1.133333333,1.9333333330000002,C,Marion Lake-1,506,1.202265306,5.0374082389999995,0,0,292200,275675.0,2052.0,2625.0,22,0,383,369,2,208250.0,142100.0,3504.0,2826.5,0,0
1568,82013200-01,2007,-3.01439277,0.173935647,2.2207142859999998,0.290000411,0,1,2,4,0,0,0,0,1,0,0,1,3,3,0,Woodpile Lake,Lower St. Croix River,-92.90332792,45.06868739,7,7,3.428571429,3.285714286,B,Woodpile Lake-1,33,,,0,0,545000,332900.0,0.0,0.0,3,32,0,0,0,32008.5,203377.75,,,0,0
